Data,Impressions,Link Clicks
19/03/2022,6,
19/03/2022,101,1
19/03/2022,74,2
19/03/2022,158,5
19/03/2022,5059,98
19/03/2022,3476,47
19/03/2022,535,6
19/03/2022,260,2
19/03/2022,266,4
19/03/2022,2115,29
19/03/2022,162,4
19/03/2022,3159,49
19/03/2022,4739,73
19/03/2022,3580,53
19/03/2022,947,20
19/03/2022,1373,24
19/03/2022,612,12
19/03/2022,73,1
20/03/2022,155,
20/03/2022,283,3
20/03/2022,298,2
20/03/2022,628,14
20/03/2022,181,1
20/03/2022,357,10
20/03/2022,1141,25
20/03/2022,890,21
20/03/2022,460,10
20/03/2022,284,4
20/03/2022,184,3
20/03/2022,4922,53
20/03/2022,14356,101
20/03/2022,1555,27
20/03/2022,620,12
20/03/2022,1080,20
20/03/2022,724,4
20/03/2022,1101,7
20/03/2022,362,7
20/03/2022,558,5
20/03/2022,9719,178
20/03/2022,9374,142
20/03/2022,149,1
20/03/2022,530,10
20/03/2022,1009,11
20/03/2022,1726,19
20/03/2022,912,11
20/03/2022,1392,9
20/03/2022,2451,25
20/03/2022,1560,13
20/03/2022,2786,50
20/03/2022,297,6
20/03/2022,8955,104
20/03/2022,4724,85
20/03/2022,1010,14
20/03/2022,4760,87
20/03/2022,792,13
20/03/2022,1812,45
20/03/2022,1555,42
20/03/2022,214,2
20/03/2022,939,14
20/03/2022,162,
20/03/2022,391,5
20/03/2022,355,10
20/03/2022,14503,591
20/03/2022,11123,452
20/03/2022,4979,157
20/03/2022,35550,1393
20/03/2022,38038,1160
20/03/2022,2339,85
20/03/2022,2267,80
20/03/2022,18024,506
20/03/2022,27984,429
20/03/2022,28866,484
20/03/2022,3335,44
20/03/2022,22106,1505
20/03/2022,36370,1861
20/03/2022,10306,100
20/03/2022,5359,46
20/03/2022,278,2
20/03/2022,34,
20/03/2022,337,11
20/03/2022,5,
20/03/2022,93,1
20/03/2022,58,1
20/03/2022,167,2
20/03/2022,5620,88
20/03/2022,4501,63
20/03/2022,946,12
20/03/2022,459,9
20/03/2022,232,3
20/03/2022,1416,17
20/03/2022,138,1
20/03/2022,2539,41
20/03/2022,7084,104
20/03/2022,5161,78
20/03/2022,484,3
20/03/2022,1314,19
20/03/2022,635,10
20/03/2022,79,2
21/03/2022,45,
21/03/2022,230,
21/03/2022,152,
21/03/2022,604,17
21/03/2022,264,6
21/03/2022,419,9
21/03/2022,623,12
21/03/2022,501,8
21/03/2022,235,5
21/03/2022,205,4
21/03/2022,142,3
21/03/2022,3348,38
21/03/2022,9111,59
21/03/2022,1604,24
21/03/2022,591,16
21/03/2022,1104,26
21/03/2022,9656,148
21/03/2022,8066,100
21/03/2022,143,1
21/03/2022,665,11
21/03/2022,570,4
21/03/2022,742,19
21/03/2022,465,7
21/03/2022,501,3
21/03/2022,945,9
21/03/2022,410,8
21/03/2022,6746,100
21/03/2022,325,4
21/03/2022,250,4
21/03/2022,150,2
21/03/2022,142,2
21/03/2022,110,2
21/03/2022,368,7
21/03/2022,251,1
21/03/2022,6705,64
21/03/2022,4543,75
21/03/2022,1644,22
21/03/2022,4028,68
21/03/2022,1125,14
21/03/2022,1827,38
21/03/2022,1751,32
21/03/2022,255,9
21/03/2022,748,11
21/03/2022,130,2
21/03/2022,364,9
21/03/2022,355,9
21/03/2022,23634,1281
21/03/2022,10692,473
21/03/2022,9138,412
21/03/2022,52642,2291
21/03/2022,8456,231
21/03/2022,7446,373
21/03/2022,5248,187
21/03/2022,9613,385
21/03/2022,27477,485
21/03/2022,29469,556
21/03/2022,3406,44
21/03/2022,24912,1556
21/03/2022,22158,1365
21/03/2022,12144,113
21/03/2022,5423,65
21/03/2022,407,8
21/03/2022,39,
21/03/2022,699,8
21/03/2022,21,1
21/03/2022,191,5
21/03/2022,100,2
21/03/2022,108,
21/03/2022,2144,38
21/03/2022,2139,48
21/03/2022,3515,64
21/03/2022,1454,20
21/03/2022,232,2
21/03/2022,806,15
21/03/2022,84,
21/03/2022,1146,16
21/03/2022,6650,111
21/03/2022,5185,87
21/03/2022,371,4
21/03/2022,1366,19
21/03/2022,1040,15
21/03/2022,98,2
22/03/2022,38,
22/03/2022,84,
22/03/2022,115,
22/03/2022,806,9
22/03/2022,183,2
22/03/2022,566,3
22/03/2022,677,20
22/03/2022,452,14
22/03/2022,303,8
22/03/2022,264,5
22/03/2022,199,4
22/03/2022,3209,46
22/03/2022,16515,146
22/03/2022,1388,29
22/03/2022,534,14
22/03/2022,995,19
22/03/2022,7121,98
22/03/2022,5460,84
22/03/2022,69,
22/03/2022,300,5
22/03/2022,635,10
22/03/2022,1102,26
22/03/2022,457,6
22/03/2022,176,3
22/03/2022,522,4
22/03/2022,636,10
22/03/2022,4689,76
22/03/2022,122,
22/03/2022,982,12
22/03/2022,484,9
22/03/2022,212,2
22/03/2022,307,3
22/03/2022,969,12
22/03/2022,383,6
22/03/2022,4937,63
22/03/2022,4646,71
22/03/2022,1471,20
22/03/2022,3196,50
22/03/2022,819,8
22/03/2022,1815,43
22/03/2022,2312,44
22/03/2022,292,3
22/03/2022,582,6
22/03/2022,220,3
22/03/2022,517,8
22/03/2022,628,13
22/03/2022,19819,1006
22/03/2022,6364,308
22/03/2022,10261,475
22/03/2022,46639,2220
22/03/2022,10557,401
22/03/2022,9436,435
22/03/2022,3557,145
22/03/2022,5006,154
22/03/2022,27208,470
22/03/2022,28589,547
22/03/2022,2646,36
22/03/2022,21295,1436
22/03/2022,28184,1850
22/03/2022,9518,88
22/03/2022,5353,41
22/03/2022,360,7
22/03/2022,13,
22/03/2022,414,8
22/03/2022,15,1
22/03/2022,234,5
22/03/2022,166,4
22/03/2022,52,
22/03/2022,1472,32
22/03/2022,1464,27
22/03/2022,1741,20
22/03/2022,751,6
22/03/2022,164,5
22/03/2022,1412,25
22/03/2022,139,2
22/03/2022,1919,41
22/03/2022,2938,43
22/03/2022,2451,49
22/03/2022,157,3
22/03/2022,634,6
22/03/2022,599,11
22/03/2022,92,3
22/03/2022,3457,78
22/03/2022,190,3
22/03/2022,4312,94
23/03/2022,26,
23/03/2022,75,
23/03/2022,62,
23/03/2022,148,2
23/03/2022,73,2
23/03/2022,206,3
23/03/2022,810,21
23/03/2022,473,10
23/03/2022,335,8
23/03/2022,297,5
23/03/2022,222,3
23/03/2022,2620,48
23/03/2022,10155,81
23/03/2022,971,30
23/03/2022,473,14
